name,Resizing,Repositioning,Refilling,Repeating,Inclusion,Cutout,Replication,Division
8232ccb1-6102-11e2-9a53-12313b016471.2be59abc-0da2-4565-8861-eba6329f18b5.jpg,0,0,0,1,0,0,1,0
83b053510b5f4f1b3c07a9e3fb9ee0a5.jpg,0,0,0,0,1,0,1,0
84.png,0,0,0,1,2,0,1,0
8628bccfed5dda37362b62270670ffd7--moritz-boston.jpg,0,0,1,0,1,0,1,0
864f6eb31ad1c58b8f61b40574fd4e59.jpg,0,0,0,0,0,0,0,0
86653de85f63d6e753f527ec3363634f.jpg,0,0,2,0,1,0,1,0
86b6d0539eeaa9b53c744aadcb318f3c.jpg,1,0,1,0,1,0,1,0
86bd8b8dc3860d7468146efa58eed9cc.jpg,0,0,0,0,0,0,0,0
87db6068507bcf872eb0bba4ead56319.jpg,1,0,1,0,1,0,1,0
880cf65c-ac54-40ae-86ed-c214163c6a63.png,0,0,0,1,1,0,1,0
88303104-16ab-48b3-ad18-e7940d4452f4.png,0,0,1,1,1,0,1,0
88399271d710db240f7827cca16abd56.jpg,0,0,0,0,0,0,0,0
89d1b16ccbdc904c82fb2757a28f819e.jpg,0,0,1,0,1,0,1,0
8c59b8fffaa4ad125de7b4adf5ae0679.jpg,0,0,0,1,1,0,1,0
8ccccd933cc3e28a17835db96da09e05.png,0,0,0,0,1,1,1,0
8ce469de6f3ab627ddff45059cd6986c.jpg,1,0,1,0,1,0,1,0
8d194292aacc069b6c57b4f072b94e79.jpg,0,0,1,1,1,0,1,0
90a964c6aec4648cf43b6e5aa5115c5b.jpg,0,0,0,0,0,0,0,0
90b5ead7b8f3af253deca79d75e0b88f.jpg,1,0,1,0,1,0,1,0
91f319b1b309846b602948c7cebba7d5.jpg,0,0,1,0,1,0,1,0
932a7ac4ea3cbe089fd0adcf54f292b8.jpg,1,0,0,0,0,0,1,0
9426ec40c06cd8f4ccb383851262ca81.jpg,0,0,0,0,1,0,1,0
951d4c11502673.560f8ae46f32a.jpg,2,0,1,0,0,1,1,0
9635744385_7e992fec0f_b.jpg,0,0,0,0,1,0,0,0
97b52b52ec62f4c99fa9bee81a332004.jpg,0,0,1,0,1,0,0,0
98897fa03a20d140f8733c0cfdc77e67.jpg,1,0,1,0,1,0,1,0
98b850fe72b8792cf60cc4b2e7194011.jpg,0,0,1,1,1,0,1,0
98dbd069-e56e-4c41-a08e-0b5dd8ffb617.png,0,0,1,1,1,0,1,1
9add33ab3132071f0e34f2117b13f9f5.jpg,0,0,0,0,1,0,1,0
9c033c53d9e502c3eed6fd403f05cad2.jpg,2,0,1,0,1,0,1,0
9c71950f3903642cbfdfc4d055316691.jpg,0,0,1,1,1,0,1,0
9c8c4032a77df4b5b55ef4b59d0e87fc.jpg,0,0,0,0,1,1,2,0
9d22d690b982fc203ba63d4d0f3e29db.jpg,0,0,0,1,1,0,1,0
9d4136ef78325d5db3f680c1a2314242.jpg,1,0,1,0,1,0,1,0
a07d6cf306c4b1bb8ab65018d20c7459.jpg,0,0,1,0,1,1,1,0
a166c7edfd07ff56bdc70e266a45a639.jpg,0,0,0,0,0,0,2,0
a1c531d5-4a75-4998-aaf4-05f69531e488.png,0,0,0,1,1,0,0,0
a1d3274a13ac35a3ec248e27c24e5b59.jpg,1,0,0,0,1,0,1,0
a2d8a1bb36c8a8ecc966f1cfaa232fca.jpg,0,0,1,0,1,0,0,1
a341ab16c1e136e80ef0198fa393bea6.jpg,0,0,1,0,1,0,1,0
a37f8ae8664a1b848cffe539c255524d.jpg,0,0,1,1,1,1,1,0
a39f1303f019643eacab225cb4781d4f.jpg,0,0,0,0,1,0,0,0
a3e5dab5ba1e5414640b65b66145d4ab.jpg,1,0,0,0,1,0,1,0
a3e694a0cfef73c6cd0a3c53bdb4b292.jpg,0,0,1,0,1,0,0,1
a575cda335e1030e62713ecbd90af9a1.jpg,0,0,0,1,1,0,1,0
a6751123dccaac41a405098b6efc4e9c.jpg,0,0,0,1,1,0,0,0
a6ab61f0-956d-46bd-a81e-e761c07906f0.png,0,0,1,1,1,0,1,0
a787de0cf0c784e10fcf88fc2c7f123b.jpg,0,0,1,0,1,0,1,1
a7936cff4cc7d25fe1e2c420ca0090db.jpg,0,0,0,0,1,0,1,0
a922e7a3-fd34-407f-a9df-062f30446ffd.png,0,0,1,1,1,0,1,0
ab8100924509560c6b55f731a0482ad5.jpg,0,0,0,0,1,0,0,0
ac7ca297c1447800abc1193e53b6ed8c--sarah-illenberger-pie-charts.jpg,1,0,1,0,1,0,1,0
acting-talent.png,0,0,0,2,0,0,1,0
activity-clock.png,0,0,0,0,1,0,0,0
AD-GRAPHIC-Cocaine1-Adult-Use-v6.jpg,0,0,1,0,0,0,1,0
aef288760962686af747e12f27303eb8.jpg,0,0,1,1,1,0,1,0
age-height-weight-players.png,0,0,1,1,0,0,1,0
aircrash-seat-illo-08071-620x558.gif,0,0,1,1,1,0,1,0
All-in-the-Family-Tree.png,0,0,1,0,1,0,1,0
all-people-world.png,1,0,0,0,1,0,1,0
All-the-volcano-eruptions-768x856.png,1,0,1,2,1,0,1,0
american-daily-routine.png,0,0,1,0,0,0,1,0
american-public-opinion-trumps-the-border-wall-1600x.png,0,0,1,1,1,0,0,0
an-incalculable-loss.png,0,0,1,2,1,0,2,0
apps.22757.3d54cdd7-1680-4c6f-b851-7453cb200391.dd00c82a-3a41-4cf2-a577-8af41fb39c73.2945229a-4d1c-4273-970e-1d2280dc8a49.png,0,0,1,1,1,0,1,0
archer-vis.jpg,0,2,1,0,0,0,1,0
article-0-1392096E000005DC-224_634x396.jpg,0,0,0,0,1,1,0,0
australia-as-100.png,0,0,0,1,1,0,1,0

b13ae0ad8c83b046965680460d1838a2.jpg,1,0,0,0,1,0,1,0
b196c77c20c1037c495bfd184c3f0c0c.jpg,0,0,1,0,1,0,0,1
b30e4d12d5e3203a2c951819cdea3d1a.jpg,0,0,0,0,1,0,0,1
b3c6928b6e123cbe0edc1015d7eae306.jpg,0,0,0,0,1,2,0,1
b4ee87cba725b73e0df477151608861c.jpg,0,0,1,0,1,0,1,0
b5342f2939a9d3aaa4caa3a92f64bc24.jpg,0,0,0,0,1,0,0,1
b562586762aa7c95bf9e8e0ba9c18bfc.jpg,0,0,0,1,1,0,1,0
b614dfd8d410c03a81ba5142f0362e3f.jpg,0,0,1,1,1,0,1,1
b7943e8859589.560c60e0427a7.png,0,0,0,0,1,0,0,0
b7b90d7f6f4dca4a3adef51393f6855e.jpg,0,0,0,0,1,0,2,0
b98b662654c1c7fa2e0a3691f9d12250.jpg,0,0,1,0,1,0,1,0
Barrie Population.png,1,0,0,0,0,0,1,0
bar_chart_fries.gif,1,0,0,0,0,0,1,0
bb226b15766125.56296a1ac4580.jpg,0,0,1,0,1,0,0,1
bc29ab826221e952bf238ff64cb8e64f.jpg,0,0,1,0,1,0,1,1
bd00a3cc3d1dab11aa996838143611fc.png,0,0,1,1,1,0,1,0
bdfa63d9c1605b9859c07a0d3129213c.jpg,0,0,1,1,1,0,1,0
be1a056afe4dfeeec77faa58f35a16ce.jpg,0,0,1,1,1,1,1,0
bf2c4ff1-f830-4207-97fa-402b1e6d5689.png,1,0,0,0,1,0,1,0
bfa702eeec04d13fc9e60d73e19eced5.jpg,1,0,1,0,1,0,0,0
bfe-infografik-grafik13-en-2018.jpg,0,0,1,0,1,0,0,1
bfe-infografik-grafik15-en-2018.jpg,0,0,1,0,1,0,1,1
bfe-infografik-grafik_14-en-2016.jpg,0,0,1,0,1,0,0,1
billionaire-index.png,0,0,1,0,1,0,1,0

blueberry-infographic-a-handful-of-health-640x1458.jpg,0,0,0,1,1,0,1,0
Brain-size.png,0,0,0,0,1,0,1,0
brazil-racial-map.png,0,2,1,0,0,0,2,0
breast cancer infographic teaser.png,0,0,1,1,1,0,0,0
breast-cancer.png,0,0,1,1,1,0,1,0
british-troops.png,0,0,0,0,0,0,0,0
budget-cuts-210x250.png,0,0,0,0,1,0,1,0
building-hopes.png,1,0,1,0,0,0,0,0
bussed-out.png,0,0,0,0,1,0,0,0
C-RpeKeXUAEYeKV.jpg,0,0,0,0,1,0,1,1
c04d9c6e71350c78c423ae7ea2902cb6--data-visualization-visualisation.jpg,0,0,0,0,0,0,0,0
c19aecbe83a64ca531ac1c5acf3de68e.jpg,0,0,0,0,1,1,1,0
c27af48f5528fcd18608ee75fdc0a3ac.jpg,1,0,1,1,1,0,1,0
c35cad8c4f8724f5272838721807d1d5.jpg,0,0,0,0,1,0,2,0
c40063b59ff21126e4e982cc54d4cc3e.jpg,0,0,2,0,1,0,0,1
c436fdf6faf51fbe07bb57c9c9405ee3.jpg,1,0,2,0,1,0,1,0
c5dd36e24af572fa488759ae120dbe3c.jpg,0,0,2,0,1,0,0,0
c6d4c0a95eb45700d69d65062c8c8945.jpg,0,0,2,0,1,0,1,0
c769e61a4ada8b1866883b18bd24c5a5.jpg,0,0,2,0,1,0,0,0
c803ee1d12406978c8bc91d4ce91e031.jpg,0,0,1,1,0,1,1,0
c85e9d0b1211dc906231caa6f607ace4.jpg,0,0,1,0,1,0,1,0
ca30221b8b09ba8af05e153d48243079.jpg,0,0,1,0,0,0,1,0
cb8f6f8f3ffdeb90f356ca1f09f84654.jpg,0,0,1,0,1,0,1,1
cddbec2a0e3481a26b29a9bbcf564c7a.jpg,0,0,0,0,1,0,1,0
cdea0bff7e0a1186cc5741d999a76ebb.jpg,0,0,1,1,1,0,2,0
ce83b4c5a6dc5708023087b1a6ee951d.jpg,1,0,1,0,1,0,1,1
celebrity-height.png,1,0,0,0,1,0,1,0
chase_population_gettingOlder.jpg,0,0,0,1,1,0,1,0
collection-infographic-people-elements-businessvector-260nw-592941407.webp,0,0,1,1,1,0,1,0
covid19-italy-reuters.png,0,0,1,1,1,0,1,0
covid19-korea-reuters.png,0,0,1,1,1,0,1,0
creative-routines.png,0,0,1,0,1,0,1,1
criancas-adotadas.png,0,0,0,0,0,0,2,0
d0fb682db47e7af834d116a8621cb9e6.jpg,1,0,1,1,1,0,0,0
d2154e6a766885d3457c96d0e31f4d7c.jpg,0,0,1,1,1,0,1,0
d36a61dd3c5c0cda9ce7a7233645b975.jpg,0,0,0,0,1,1,0,0
d440b3a2-1127-4b62-8542-612edac3c795.png,0,2,1,1,1,0,1,0
d73fc9b39eb0df68ab0bb29d4609d128.jpg,0,0,1,0,1,0,1,0
d777c88490049ecf0343a2c0773c9fa6.jpg,1,0,1,0,1,0,0,0
d97723c3c48683c77202751c4d01988e.jpg,1,0,0,0,1,0,1,0
da91713a058bd59d977cedf483661783.jpg,1,0,0,0,1,0,1,0
daily-routines-famous.png,0,0,1,0,1,0,1,0
data-strings.png,0,0,1,0,1,0,1,0
DbFgg7sW0AERalh.jpg,1,0,1,0,1,0,1,0
dc9096953d6fbfca528da902ae3ed8c4.jpg,1,0,1,0,1,2,1,0
dd4b0a23ff938bd0b41a5042768eaf24.jpg,0,0,0,0,1,0,1,0
de930034c2fa31d7723f884abf038984.jpg,0,0,1,0,1,0,1,1
death-in-syria.png,0,0,0,1,1,0,0,0
deaths-at-the-borders.png,0,0,0,1,0,0,0,0
Deaths-in-Gaza-960x483.png,0,0,1,1,0,0,0,0
df51538a6d7dabe096ad459fd3a639dc.jpg,0,0,0,0,1,0,0,0
dfa9a1e608702d3167e356f08627523a.jpg,0,0,1,0,1,0,1,0
Dinosaurs-versus-airplane-620x417.gif,0,0,0,0,1,0,1,0
displaced-people-worldwide.png,0,0,1,1,1,0,1,0
divorce-and-occupation.png,0,0,0,0,0,0,0,0
DjkFtnj.jpeg,1,0,0,0,1,0,1,0
Drawing-logos-from-memory-e1507141998998-768x693.png,0,1,0,0,0,0,0,0
drone-victims.png,0,0,1,1,1,0,1,0
DT_BA_Ib.jpg,0,0,1,0,1,0,1,0
